state,date,adult_icu_bed_utilization,prob_breach_7d
VI,2022-10-18,0.55,0.0965322
AR,2022-10-17,0.674311926605504,0.02494886
AS,2022-10-15,0.285714285714286,0.20939976
VI,2022-10-15,0.6,0.09375194
AS,2022-10-14,0.428571428571429,0.36746317
VI,2022-10-13,0.55,0.11353631
AS,2022-10-12,0.571428571428571,0.101852104
VI,2022-10-12,0.6,0.12452847
WY,2022-10-12,0.373983739837398,0.04223913
AS,2022-10-10,0.428571428571429,0.12401839
VI,2022-10-10,1.0,0.053510863
VI,2022-10-09,1.083333333333333,0.064151935
WA,2022-10-09,0.7931638913234,0.017531062
VI,2022-10-08,1.083333333333333,0.10936682
AS,2022-10-07,0.428571428571429,0.18276256
VI,2022-10-07,1.0,0.10461814
VI,2022-10-06,0.5,0.29480505
WV,2022-10-06,0.752921535893155,0.09474062
AK,2022-10-04,0.849315068493151,0.057725586
AS,2022-10-04,0.571428571428571,0.31902438
VI,2022-10-04,0.666666666666667,0.20551583
WY,2022-10-02,0.277777777777778,0.01842143
AS,2022-10-01,0.571428571428571,0.35342756
VI,2022-10-01,0.666666666666667,0.04653926
AS,2022-09-30,0.571428571428571,0.14790349
VI,2022-09-29,0.666666666666667,0.08855961
AS,2022-09-28,0.714285714285714,0.26646966
VI,2022-09-28,0.5,0.2429107
WY,2022-09-28,0.365853658536585,0.04509492
AK,2022-09-26,0.836477987421384,0.021574415
AS,2022-09-26,0.714285714285714,0.7412416
VI,2022-09-26,0.5,0.44316527
VI,2022-09-25,0.75,0.09388808
UT,2022-09-24,0.60348162475822,0.03908715
AS,2022-09-23,0.857142857142857,0.105417766
VI,2022-09-23,0.75,0.07084198
WY,2022-09-23,0.30952380952381,0.018828565
VI,2022-09-21,0.833333333333333,0.063505284
AS,2022-09-20,0.714285714285714,0.42940593
VI,2022-09-20,0.833333333333333,0.035383575
AS,2022-09-19,0.714285714285714,0.07268006
VI,2022-09-18,1.0,0.29853925
AS,2022-09-17,0.571428571428571,0.048849214
PR,2022-09-15,0.778637770897833,0.052767515
PR,2022-09-16,0.743670886075949,0.06954955
NY,2022-09-14,0.733036707452725,0.13637455
PA,2022-09-16,0.766790511574736,0.21980868
VT,2022-09-17,0.762886597938144,0.15904932
OK,2022-09-17,0.696058091286307,0.079573035
KY,2022-09-14,0.811250925240562,0.2096539
ND,2022-09-15,0.588235294117647,0.20422955
DC,2022-09-16,0.804733727810651,0.07263756
ME,2022-09-16,0.697530864197531,0.099488966
CT,2022-09-14,0.691969196919692,0.073424995
TN,2022-09-15,0.664046338436078,0.062809326
MA,2022-09-17,0.829909613804437,0.17389748
OH,2022-09-15,0.728840970350404,0.14122003
IL,2022-09-16,0.636597110754414,0.103301324
MT,2022-09-16,0.589041095890411,0.041996997
TN,2022-09-17,0.634782608695652,0.04286892
CA,2022-09-15,0.72998193859121,0.04438654
ID,2022-09-14,0.788461538461538,0.07776007
NE,2022-09-17,0.768421052631579,0.107942924
MO,2022-09-15,0.779622209502003,0.084847435
NJ,2022-09-15,0.44266950656727,0.12677543
LA,2022-09-16,0.716942148760331,0.12546128
MT,2022-09-14,0.606334841628959,0.10393835
DC,2022-09-15,0.815151515151515,0.3560456
NE,2022-09-16,0.822175732217573,0.07963858
VA,2022-09-16,0.694607581420182,0.19930746
OK,2022-09-15,0.779749478079332,0.100872
FL,2022-09-14,0.724169741697417,0.04925992
AR,2022-09-16,0.725312145289444,0.061792668
HI,2022-09-15,0.64018691588785,0.108889304
WI,2022-09-16,0.712109061748196,0.17089692
NV,2022-09-16,0.774936061381074,0.017900856
ME,2022-09-14,0.663551401869159,0.13139741
VT,2022-09-15,0.712765957446808,0.18441507
WV,2022-09-17,0.770382695507488,0.10163321
KS,2022-09-15,0.712871287128713,0.048119515
MN,2022-09-17,0.808383233532934,0.09402181
RI,2022-09-17,0.845637583892618,0.08250164
SD,2022-09-17,0.518828451882845,0.075861506
GA,2022-09-16,0.817798235519754,0.06863324
WY,2022-09-16,0.412698412698413,0.08318151
TX,2022-09-15,0.888979326062184,0.064122714
MD,2022-09-17,0.68362480127186,0.07558382
MS,2022-09-17,0.726657645466847,0.09105394
LA,2022-09-14,0.761348005502063,0.10415162
AZ,2022-09-16,0.615613825983314,0.04420441
CO,2022-09-16,0.622383252818035,0.098355256
NE,2022-09-14,0.821576763485477,0.080608405
ID,2022-09-15,0.753846153846154,0.059659075
OR,2022-09-16,0.75397973950796,0.07393935
NY,2022-09-15,0.738026286478058,0.1947174
IA,2022-09-14,0.680890538033395,0.116413295
NJ,2022-09-14,0.44337948171814,0.066632755
ME,2022-09-15,0.648318042813456,0.10055848
MD,2022-09-16,0.664056382145654,0.114933155
RI,2022-09-15,0.832214765100671,0.07864276
SD,2022-09-16,0.493723849372385,0.0918309
AZ,2022-09-15,0.613649851632047,0.045731343
AK,2022-09-14,0.842767295597484,0.07145036
NM,2022-09-17,0.796915167095116,0.061640773
OH,2022-09-16,0.714323962516734,0.07603422
MS,2022-09-16,0.764150943396226,0.08831656
MS,2022-09-15,0.774193548387097,0.09089005
DE,2022-09-15,0.779005524861878,0.33048058
VI,2022-09-16,0.75,0.31819642
ND,2022-09-17,0.566502463054187,0.089560814
AZ,2022-09-14,0.647164179104478,0.042085066
MD,2022-09-15,0.69645732689211,0.06982989
IN,2022-09-16,0.690716690716691,0.069137186
NV,2022-09-17,0.754693366708386,0.018888505
WY,2022-09-15,0.428571428571429,0.21979806
NH,2022-09-16,0.828193832599119,0.33743736
TN,2022-09-16,0.649151841125362,0.09933389
NH,2022-09-14,0.863436123348018,0.20789628
CT,2022-09-16,0.694597574421169,0.06454193
MO,2022-09-17,0.72769142199194,0.07760093
MN,2022-09-14,0.767857142857143,0.09398316
MS,2022-09-14,0.775978407557355,0.11130196
IA,2022-09-15,0.683918669131238,0.11792363
MI,2022-09-14,0.790315789473684,0.16237609
UT,2022-09-15,0.633911368015414,0.09686444
AS,2022-09-16,1.0,0.25424105
IN,2022-09-15,0.714698795180723,0.052913364
NH,2022-09-15,0.86283185840708,0.22478661
OH,2022-09-14,0.733046286329386,0.14055617
OR,2022-09-17,0.763523956723338,0.07666615
DE,2022-09-14,0.812154696132597,0.23102158
HI,2022-09-16,0.663507109004739,0.09193743
NY,2022-09-16,0.7258781680747,0.20426545
MT,2022-09-17,0.579185520361991,0.10757
MO,2022-09-16,0.76406429391504,0.08304167
WI,2022-09-15,0.752997601918465,0.21640915
HI,2022-09-14,0.666666666666667,0.06778261
SC,2022-09-17,0.664351851851852,0.05119969
MI,2022-09-15,0.79706498951782,0.15257145
MA,2022-09-16,0.851428571428571,0.25315243
NV,2022-09-15,0.752179327521793,0.01703634
NM,2022-09-14,0.833333333333333,0.051976934
WV,2022-09-16,0.801242236024845,0.07290321
IN,2022-09-14,0.723938223938224,0.088226646
FL,2022-09-16,0.71744132535665,0.019680357
MT,2022-09-15,0.579908675799087,0.077748545
AL,2022-09-14,0.838138925294889,0.11796964
NJ,2022-09-17,0.427760028399006,0.1102221
CA,2022-09-16,0.718810122835578,0.027130319
OR,2022-09-15,0.774147727272727,0.08206352
SC,2022-09-16,0.695150115473441,0.059834518
ND,2022-09-14,0.542857142857143,0.15008686
OK,2022-09-16,0.735751295336788,0.028338453
FL,2022-09-15,0.73395907062625,0.021056555
VA,2022-09-17,0.622994652406417,0.051304135
NY,2022-09-17,0.702354509107064,0.14928955
WV,2022-09-15,0.801980198019802,0.20819873
IL,2022-09-15,0.64306404892179,0.14818631
MA,2022-09-14,0.845344129554656,0.11996087
NC,2022-09-17,0.798072510325838,0.22770923
WA,2022-09-17,0.797713280562885,0.07458098
CA,2022-09-14,0.735726185067394,0.03492673
SC,2022-09-15,0.700848111025443,0.07424769
KY,2022-09-17,0.738567073170732,0.15187636
MA,2022-09-15,0.846343467543139,0.22944263
KS,2022-09-16,0.709433962264151,0.059567947
CO,2022-09-15,0.624701195219124,0.10281994
MO,2022-09-14,0.772492836676218,0.12138122
VT,2022-09-16,0.793814432989691,0.2045661
NJ,2022-09-16,0.427405040823571,0.105023555
PA,2022-09-17,0.759696704578594,0.09659211
DC,2022-09-14,0.796352583586626,0.3134132
VA,2022-09-15,0.706989247311828,0.12899394
AK,2022-09-16,0.794520547945205,0.079610504
MN,2022-09-16,0.78978622327791,0.10874163
ME,2022-09-17,0.6375,0.28052974
NE,2022-09-15,0.80083857442348,0.08324683
NC,2022-09-16,0.811381367599816,0.19366577
IA,2022-09-16,0.710332103321033,0.12313439
OK,2022-09-14,0.741935483870968,0.09788925
TX,2022-09-16,0.885733048760466,0.05869848
AR,2022-09-15,0.725934314835787,0.07201836
KY,2022-09-15,0.773333333333333,0.13703513
CO,2022-09-14,0.635113268608414,0.17766029
OH,2022-09-17,0.695967741935484,0.044932973
NC,2022-09-15,0.823475469967905,0.20269126
DE,2022-09-16,0.795580110497238,0.28470787
MI,2022-09-16,0.7837384744342,0.14250278
AL,2022-09-15,0.849056603773585,0.13912977
WA,2022-09-15,0.833770778652668,0.05289359
RI,2022-09-16,0.846666666666667,0.102007195
NH,2022-09-17,0.79646017699115,0.14743121
AR,2022-09-14,0.741031390134529,0.11423251
GA,2022-09-15,0.831233295150821,0.07317923
UT,2022-09-17,0.611218568665377,0.08281353
NV,2022-09-14,0.748451053283767,0.04867018
TX,2022-09-17,0.884913938575768,0.1535198
IL,2022-09-14,0.635576923076923,0.12524903
MN,2022-09-15,0.801435406698565,0.09322453
PA,2022-09-15,0.763605442176871,0.10173509
NC,2022-09-14,0.823663773412517,0.21150543
KS,2022-09-14,0.726591760299626,0.056903947
MD,2022-09-14,0.669491525423729,0.08736084
WI,2022-09-17,0.695760598503741,0.14989817
OR,2022-09-14,0.776824034334764,0.079245366
ID,2022-09-16,0.723320158102767,0.056240685
GA,2022-09-14,0.816224529027297,0.0640923
NM,2022-09-16,0.825641025641026,0.064782344
SD,2022-09-15,0.522821576763486,0.0784609
LA,2022-09-17,0.698887343532684,0.017342942
UT,2022-09-16,0.62669245647969,0.08613113
AL,2022-09-16,0.828998699609883,0.10594124
PR,2022-09-17,0.727416798732171,0.08912093
NM,2022-09-15,0.815384615384615,0.060247835
LA,2022-09-15,0.742621825669183,0.08007448
KY,2022-09-16,0.791258477769405,0.11162636
ND,2022-09-16,0.545893719806763,0.13922057
MI,2022-09-17,0.745697074010327,0.15148672
CT,2022-09-15,0.699231613611416,0.06673278
WA,2022-09-16,0.82051282051282,0.07541172
SC,2022-08-05,0.669781931464174,0.06654226
OH,2022-09-02,0.739502540786306,0.10837697
IA,2022-08-28,0.632841328413284,0.078768566
MN,2022-08-04,0.775712515489467,0.10492699
OH,2022-07-20,0.707499332799573,0.08174627
GA,2022-08-20,0.778088764494202,0.07124804
NE,2022-08-14,0.71900826446281,0.05047935
VT,2022-08-26,0.793478260869565,0.39831516
WY,2022-07-24,0.295652173913044,0.14556788
MI,2022-07-27,0.792054099746407,0.050717838
MN,2022-07-04,0.754299754299754,0.08465393
CA,2022-08-15,0.692897983749624,0.024754506
NC,2022-08-17,0.826267281105991,0.25559983
CT,2022-07-30,0.629834254143646,0.09519913
OR,2022-08-30,0.740056818181818,0.08596189
CA,2022-07-02,0.712832194381169,0.022282846
NC,2022-08-10,0.818098300413413,0.25981015
MS,2022-08-20,0.755674232309746,0.28265917
ND,2022-08-13,0.559808612440191,0.19248414
MT,2022-08-06,0.583710407239819,0.101178914
RI,2022-07-03,0.83453237410072,0.057600256
UT,2022-08-19,0.757211538461538,0.08909989
MA,2022-09-02,0.82092050209205,0.19141608
NV,2022-07-04,0.757802746566792,0.12665553
CA,2022-07-27,0.723785545023697,0.0857832
OK,2022-08-26,0.753086419753086,0.08029084
WA,2022-08-18,0.822871883061049,0.07090696
MS,2022-09-07,0.7797783933518,0.10024359
